SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,D,1100760,OPTIDX,0,SENSEX-Nov2026-77500-CE,20.0,SENSEX 26 NOV 77500 CALL,2026-11-26 15:30:00,77500.0,CE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1100766,OPTIDX,0,SENSEX-Nov2026-79800-CE,20.0,SENSEX 26 NOV 79800 CALL,2026-11-26 15:30:00,79800.0,CE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1100783,OPTIDX,0,SENSEX-Nov2026-82200-PE,20.0,SENSEX 26 NOV 82200 PUT,2026-11-26 15:30:00,82200.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1100811,OPTIDX,0,FOCIT-Nov2026-31300-PE,45.0,FOCIT 26 NOV 31300 PUT,2026-11-26 15:30:00,31300.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100814,OPTIDX,0,FOCIT-Nov2026-33600-PE,45.0,FOCIT 26 NOV 33600 PUT,2026-11-26 15:30:00,33600.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100823,OPTIDX,0,FOCIT-Nov2026-38000-CE,45.0,FOCIT 26 NOV 38000 CALL,2026-11-26 15:30:00,38000.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100827,OPTIDX,0,BANKEX-Nov2026-63800-PE,30.0,BANKEX 26 NOV 63800 PUT,2026-11-26 15:30:00,63800.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1100833,OPTIDX,0,SENSEX-Oct2026-80800-CE,20.0,SENSEX 15 OCT 80800 CALL,2026-10-15 15:30:00,80800.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1100837,OPTIDX,0,SENSEX-Nov2026-71500-CE,20.0,SENSEX 26 NOV 71500 CALL,2026-11-26 15:30:00,71500.0,CE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1100845,OPTIDX,0,SENSEX-Nov2026-73800-CE,20.0,SENSEX 26 NOV 73800 CALL,2026-11-26 15:30:00,73800.0,CE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1100871,OPTIDX,0,SENSEX-Nov2026-80800-PE,20.0,SENSEX 26 NOV 80800 PUT,2026-11-26 15:30:00,80800.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1100892,OPTIDX,0,FOCIT-Nov2026-34300-CE,45.0,FOCIT 26 NOV 34300 CALL,2026-11-26 15:30:00,34300.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100897,OPTIDX,0,BANKEX-Nov2026-70400-CE,30.0,BANKEX 26 NOV 70400 CALL,2026-11-26 15:30:00,70400.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1100902,OPTIDX,0,FOCIT-Nov2026-36600-CE,45.0,FOCIT 26 NOV 36600 CALL,2026-11-26 15:30:00,36600.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100911,OPTIDX,0,FOCIT-Nov2026-38900-CE,45.0,FOCIT 26 NOV 38900 CALL,2026-11-26 15:30:00,38900.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100925,OPTIDX,0,SENSEX50-Nov2026-25250-PE,75.0,SENSEX50 26 NOV 25250 PUT,2026-11-26 15:30:00,25250.0,PE,5.0,M,OPTIDX,,SX50OPT
BSE,D,1100930,OPTIDX,0,FOCIT-Nov2026-41300-PE,45.0,FOCIT 26 NOV 41300 PUT,2026-11-26 15:30:00,41300.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100937,OPTIDX,0,FOCIT-Nov2026-43600-PE,45.0,FOCIT 26 NOV 43600 PUT,2026-11-26 15:30:00,43600.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100944,OPTIDX,0,SENSEX-Oct2026-76200-PE,20.0,SENSEX 15 OCT 76200 PUT,2026-10-15 15:30:00,76200.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1100949,OPTIDX,0,SENSEX-Oct2026-78500-PE,20.0,SENSEX 15 OCT 78500 PUT,2026-10-15 15:30:00,78500.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1100963,OPTIDX,0,FOCIT-Nov2026-30600-CE,45.0,FOCIT 26 NOV 30600 CALL,2026-11-26 15:30:00,30600.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100975,OPTIDX,0,FOCIT-Nov2026-32900-CE,45.0,FOCIT 26 NOV 32900 CALL,2026-11-26 15:30:00,32900.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100989,OPTIDX,0,SENSEX50-Nov2026-26100-PE,75.0,SENSEX50 26 NOV 26100 PUT,2026-11-26 15:30:00,26100.0,PE,5.0,M,OPTIDX,,SX50OPT
BSE,D,1101001,OPTIDX,0,SENSEX-Oct2026-70200-PE,20.0,SENSEX 15 OCT 70200 PUT,2026-10-15 15:30:00,70200.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101003,OPTIDX,0,BANKEX-Nov2026-68100-PE,30.0,BANKEX 26 NOV 68100 PUT,2026-11-26 15:30:00,68100.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101010,OPTIDX,0,SENSEX-Oct2026-72500-PE,20.0,SENSEX 15 OCT 72500 PUT,2026-10-15 15:30:00,72500.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101013,OPTIDX,0,SENSEX-Oct2026-74800-PE,20.0,SENSEX 15 OCT 74800 PUT,2026-10-15 15:30:00,74800.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101023,OPTIDX,0,SENSEX-Nov2026-78100-CE,20.0,SENSEX 26 NOV 78100 CALL,2026-11-26 15:30:00,78100.0,CE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1101064,OPTIDX,0,BANKEX-Nov2026-57400-CE,30.0,BANKEX 26 NOV 57400 CALL,2026-11-26 15:30:00,57400.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101075,OPTIDX,0,BANKEX-Nov2026-59700-CE,30.0,BANKEX 26 NOV 59700 CALL,2026-11-26 15:30:00,59700.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101085,OPTIDX,0,BANKEX-Nov2026-62100-PE,30.0,BANKEX 26 NOV 62100 PUT,2026-11-26 15:30:00,62100.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101091,OPTIDX,0,BANKEX-Nov2026-64400-PE,30.0,BANKEX 26 NOV 64400 PUT,2026-11-26 15:30:00,64400.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101097,OPTIDX,0,FOCIT-Nov2026-42900-CE,45.0,FOCIT 26 NOV 42900 CALL,2026-11-26 15:30:00,42900.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1101100,OPTIDX,0,SENSEX-Nov2026-72100-CE,20.0,SENSEX 26 NOV 72100 CALL,2026-11-26 15:30:00,72100.0,CE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1101110,OPTIDX,0,SENSEX-Nov2026-74400-CE,20.0,SENSEX 26 NOV 74400 CALL,2026-11-26 15:30:00,74400.0,CE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1101136,OPTIDX,0,SENSEX-Oct2026-82500-PE,20.0,SENSEX 15 OCT 82500 PUT,2026-10-15 15:30:00,82500.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101172,OPTIDX,0,SENSEX-Nov2026-77800-PE,20.0,SENSEX 26 NOV 77800 PUT,2026-11-26 15:30:00,77800.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1101183,OPTIDX,0,BANKEX-Nov2026-60700-PE,30.0,BANKEX 26 NOV 60700 PUT,2026-11-26 15:30:00,60700.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101186,OPTIDX,0,SENSEX50-Nov2026-25400-CE,75.0,SENSEX50 26 NOV 25400 CALL,2026-11-26 15:30:00,25400.0,CE,5.0,M,OPTIDX,,SX50OPT
BSE,D,1101189,OPTIDX,0,BANKEX-Nov2026-65100-CE,30.0,BANKEX 26 NOV 65100 CALL,2026-11-26 15:30:00,65100.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101192,OPTIDX,0,BANKEX-Nov2026-67400-CE,30.0,BANKEX 26 NOV 67400 CALL,2026-11-26 15:30:00,67400.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101194,OPTIDX,0,BANKEX-Nov2026-69700-CE,30.0,BANKEX 26 NOV 69700 CALL,2026-11-26 15:30:00,69700.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101204,OPTIDX,0,FOCIT-Nov2026-38300-PE,45.0,FOCIT 26 NOV 38300 PUT,2026-11-26 15:30:00,38300.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1101220,OPTIDX,0,SENSEX-Nov2026-82100-CE,20.0,SENSEX 26 NOV 82100 CALL,2026-11-26 15:30:00,82100.0,CE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1101234,OPTIDX,0,FOCIT-Nov2026-31200-CE,45.0,FOCIT 26 NOV 31200 CALL,2026-11-26 15:30:00,31200.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1101243,OPTIDX,0,BANKEX-Nov2026-61400-CE,30.0,BANKEX 26 NOV 61400 CALL,2026-11-26 15:30:00,61400.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101253,OPTIDX,0,BANKEX-Nov2026-63700-CE,30.0,BANKEX 26 NOV 63700 CALL,2026-11-26 15:30:00,63700.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101271,OPTIDX,0,FOCIT-Nov2026-34600-PE,45.0,FOCIT 26 NOV 34600 PUT,2026-11-26 15:30:00,34600.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1101272,OPTIDX,0,BANKEX-Nov2026-70700-PE,30.0,BANKEX 26 NOV 70700 PUT,2026-11-26 15:30:00,70700.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101274,OPTIDX,0,FOCIT-Nov2026-36900-PE,45.0,FOCIT 26 NOV 36900 PUT,2026-11-26 15:30:00,36900.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1101285,OPTIDX,0,SENSEX-Nov2026-80700-CE,20.0,SENSEX 26 NOV 80700 CALL,2026-11-26 15:30:00,80700.0,CE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1101299,OPTIDX,0,SENSEX-Oct2026-69900-PE,20.0,SENSEX 08 OCT 69900 PUT,2026-10-08 15:30:00,69900.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101321,OPTIDX,0,SENSEX50-Nov2026-25150-CE,75.0,SENSEX50 26 NOV 25150 CALL,2026-11-26 15:30:00,25150.0,CE,5.0,M,OPTIDX,,SX50OPT
BSE,D,1101336,OPTIDX,0,FOCIT-Nov2026-30900-PE,45.0,FOCIT 26 NOV 30900 PUT,2026-11-26 15:30:00,30900.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1101340,OPTIDX,0,FOCIT-Nov2026-41200-CE,45.0,FOCIT 26 NOV 41200 CALL,2026-11-26 15:30:00,41200.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1101349,OPTIDX,0,BANKEX-Nov2026-59100-PE,30.0,BANKEX 26 NOV 59100 PUT,2026-11-26 15:30:00,59100.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101352,OPTIDX,0,FOCIT-Nov2026-43500-CE,45.0,FOCIT 26 NOV 43500 CALL,2026-11-26 15:30:00,43500.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1101363,OPTIDX,0,SENSEX-Oct2026-76100-CE,20.0,SENSEX 15 OCT 76100 CALL,2026-10-15 15:30:00,76100.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101371,OPTIDX,0,SENSEX-Oct2026-78400-CE,20.0,SENSEX 15 OCT 78400 CALL,2026-10-15 15:30:00,78400.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101394,OPTIDX,0,SENSEX-Oct2026-83100-PE,20.0,SENSEX 15 OCT 83100 PUT,2026-10-15 15:30:00,83100.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101406,OPTIDX,0,SENSEX-Nov2026-76100-PE,20.0,SENSEX 26 NOV 76100 PUT,2026-11-26 15:30:00,76100.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1101417,OPTIDX,0,SENSEX-Nov2026-78400-PE,20.0,SENSEX 26 NOV 78400 PUT,2026-11-26 15:30:00,78400.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1101439,OPTIDX,0,SENSEX-Oct2026-70100-CE,20.0,SENSEX 15 OCT 70100 CALL,2026-10-15 15:30:00,70100.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101446,OPTIDX,0,BANKEX-Nov2026-57700-PE,30.0,BANKEX 26 NOV 57700 PUT,2026-11-26 15:30:00,57700.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101447,OPTIDX,0,SENSEX-Oct2026-72400-CE,20.0,SENSEX 15 OCT 72400 CALL,2026-10-15 15:30:00,72400.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101454,OPTIDX,0,SENSEX-Oct2026-74700-CE,20.0,SENSEX 15 OCT 74700 CALL,2026-10-15 15:30:00,74700.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1101481,OPTIDX,0,SENSEX-Nov2026-70100-PE,20.0,SENSEX 26 NOV 70100 PUT,2026-11-26 15:30:00,70100.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1101483,OPTIDX,0,BANKEX-Nov2026-69100-PE,30.0,BANKEX 26 NOV 69100 PUT,2026-11-26 15:30:00,69100.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1101485,OPTIDX,0,SENSEX-Nov2026-72400-PE,20.0,SENSEX 26 NOV 72400 PUT,2026-11-26 15:30:00,72400.0,PE,5.0,M,OPTIDX,,BSXOPT
